"FileID","FileName","Extension","BusinessDomain","FolderPath","Depth","SizeKB","LastModified","Complexity"
"1","FundingFile1.md",".txt","Youth","src/services","2","279","2024-12-17","5"
"2","MentorshipFile2.json",".py","Mentorship","src/services","2","41","2025-03-09","4"
"3","AIFile3.jsx",".js","AI","frontend/components","2","819","2025-06-09","6"
"4","MentorshipFile4.json",".js","Funding","src/pages","2","104","2025-02-12","5"
"5","FundingFile5.md",".css","AI","frontend/components","2","192","2025-10-08","4"
"6","YouthFile6.css",".json","Funding","src/services","2","24","2025-05-13","8"
"7","YouthFile7.json",".js","AI","src/services","2","820","2025-04-28","5"
"8","AIFile8.json",".txt","Youth","frontend/components","2","907","2025-01-09","1"
"9","AIFile9.txt",".css","Entrepreneur","src/components","2","339","2025-06-07","1"
"10","AIFile10.html",".jsx","Funding","backend/controllers","2","659","2025-01-22","2"
"11","EntrepreneurFile11.md",".css","AI","backend/controllers","2","191","2025-09-28","8"
"12","MentorshipFile12.txt",".md","AI","backend/controllers","2","959","2025-03-10","1"
"13","EntrepreneurFile13.txt",".py","Entrepreneur","src/components","2","843","2025-05-15","9"
"14","FundingFile14.md",".md","Youth","backend/controllers","2","838","2025-04-03","1"
"15","EntrepreneurFile15.html",".py","Funding","src/services","2","291","2024-12-07","1"
"16","FundingFile16.json",".html","AI","src/components","2","677","2024-11-17","7"
"17","MentorshipFile17.json",".html","Mentorship","backend/controllers","2","129","2025-01-04","1"
"18","YouthFile18.html",".py","Youth","src/services","2","760","2025-02-03","8"
"19","FundingFile19.py",".html","Youth","src/pages","2","117","2025-09-04","5"
"20","EntrepreneurFile20.md",".css","AI","ai/models","2","528","2025-03-20","3"
"21","FundingFile21.css",".json","Mentorship","backend/controllers","2","125","2025-06-18","4"
"22","MentorshipFile22.jsx",".md","Entrepreneur","frontend/components","2","398","2025-07-23","9"
"23","AIFile23.html",".txt","Mentorship","backend/controllers","2","510","2025-01-04","6"
"24","EntrepreneurFile24.html",".txt","Funding","src/components","2","793","2025-10-24","4"
"25","YouthFile25.py",".css","AI","src/services","2","372","2025-09-07","7"
"26","EntrepreneurFile26.js",".json","Youth","src/services","2","955","2025-07-10","9"
"27","AIFile27.html",".md","Mentorship","src/services","2","556","2025-05-08","5"
"28","MentorshipFile28.js",".json","Youth","src/services","2","576","2025-07-25","6"
"29","MentorshipFile29.txt",".jsx","AI","src/pages","2","524","2025-09-05","7"
"30","MentorshipFile30.css",".jsx","Youth","src/pages","2","650","2025-09-27","5"
"31","AIFile31.html",".html","Entrepreneur","src/services","2","166","2025-06-15","6"
"32","YouthFile32.jsx",".css","AI","src/services","2","919","2025-06-20","6"
"33","EntrepreneurFile33.py",".json","Entrepreneur","src/pages","2","989","2025-09-12","6"
"34","FundingFile34.json",".css","Youth","backend/controllers","2","276","2025-04-19","7"
"35","MentorshipFile35.jsx",".html","Funding","frontend/components","2","994","2025-08-26","9"
"36","AIFile36.html",".md","Funding","frontend/components","2","368","2025-04-23","6"
"37","EntrepreneurFile37.json",".txt","Mentorship","src/pages","2","685","2025-05-28","5"
"38","YouthFile38.jsx",".json","Funding","src/pages","2","359","2025-10-04","1"
"39","FundingFile39.md",".json","Youth","src/components","2","162","2025-04-19","6"
"40","FundingFile40.js",".txt","Youth","src/pages","2","300","2025-01-21","2"
"41","YouthFile41.py",".md","Funding","src/components","2","137","2024-12-24","8"
"42","EntrepreneurFile42.md",".txt","Mentorship","src/components","2","501","2025-08-19","4"
"43","AIFile43.md",".js","Funding","ai/models","2","75","2025-10-02","2"
"44","AIFile44.txt",".js","Youth","src/services","2","822","2024-12-16","6"
"45","FundingFile45.py",".txt","Funding","backend/controllers","2","152","2025-04-01","2"
"46","AIFile46.jsx",".json","AI","src/pages","2","724","2024-11-24","7"
"47","EntrepreneurFile47.txt",".js","AI","ai/models","2","518","2024-11-21","7"
"48","AIFile48.jsx",".md","Entrepreneur","frontend/components","2","553","2025-05-02","2"
"49","AIFile49.py",".js","Funding","ai/models","2","932","2025-04-21","9"
"50","AIFile50.txt",".css","Entrepreneur","src/components","2","93","2025-10-29","4"
"51","EntrepreneurFile51.jsx",".py","Youth","src/pages","2","571","2025-03-24","8"
"52","FundingFile52.js",".py","AI","frontend/components","2","307","2025-11-07","7"
"53","AIFile53.md",".js","Youth","src/pages","2","621","2025-06-13","4"
"54","YouthFile54.js",".py","AI","frontend/components","2","824","2025-09-13","4"
"55","YouthFile55.jsx",".txt","Youth","src/pages","2","318","2025-10-01","9"
"56","AIFile56.html",".txt","Entrepreneur","src/components","2","773","2025-08-15","7"
"57","AIFile57.json",".css","Youth","src/pages","2","412","2025-04-22","5"
"58","AIFile58.js",".css","Funding","ai/models","2","798","2025-07-05","8"
"59","AIFile59.js",".md","Mentorship","backend/controllers","2","444","2025-04-19","2"
"60","EntrepreneurFile60.jsx",".json","AI","frontend/components","2","229","2025-01-01","7"
