"BusinessID","BusinessName","Industry","Location","FounderAge","YearsInOperation","MonthlyRevenue","TotalFunding","EmployeeCount","CustomerCount","SuccessScore","GrowthRate","RegistrationDate"
"1","Biz_5371","Healthcare","Berea","22","7","132528","97124","7","438","45","1.63","2022-06-29"
"2","Biz_9003","Education","Maseru","29","2","140930","125480","6","126","6","1.22","2025-02-01"
"3","Biz_2909","Technology","Maseru","20","7","138900","110395","7","19","8","0.36","2022-12-22"
"4","Biz_0386","Healthcare","Maseru","34","7","116834","99888","4","54","47","0.59","2022-07-27"
"5","Biz_4825","Agriculture","Maseru","25","5","152913","145998","16","141","10","1.74","2023-06-04"
"6","Biz_5544","Education","Mafeteng","19","3","53495","15799","1","429","43","1.92","2022-12-11"
"7","Biz_2389","Education","Leribe","30","2","11456","19176","15","25","40","1.13","2023-12-06"
"8","Biz_2239","Agriculture","Leribe","22","5","158421","128101","7","493","31","1.32","2021-03-03"
"9","Biz_9201","Technology","Mafeteng","25","3","160881","128943","18","85","46","0.28","2021-08-01"
"10","Biz_5241","Healthcare","Leribe","20","0","146564","135409","17","400","52","0.42","2024-12-18"
"11","Biz_8151","Technology","Maseru","23","0","34587","79362","8","87","83","2","2025-01-26"
"12","Biz_1812","Retail","Berea","20","2","97030","37117","2","142","70","1.64","2022-04-23"
"13","Biz_8897","Retail","Mafeteng","27","3","56090","124022","8","185","53","0.85","2022-04-08"
"14","Biz_9063","Agriculture","Mafeteng","21","0","198533","115507","16","339","43","0.43","2021-09-06"
"15","Biz_6783","Education","Maseru","19","0","51713","91761","11","19","82","0.52","2024-06-13"
"16","Biz_6441","Agriculture","Leribe","21","4","120238","1954","15","64","47","0.68","2021-04-23"
"17","Biz_6042","Education","Leribe","33","2","42227","24120","14","483","45","0.14","2022-06-18"
"18","Biz_5033","Retail","Maseru","21","4","53482","5620","16","208","82","1.82","2023-05-09"
"19","Biz_6479","Healthcare","Berea","23","6","105225","42369","8","425","14","1.69","2025-05-11"
"20","Biz_6114","Agriculture","Mafeteng","22","6","174873","147985","13","394","58","1.02","2025-02-18"
"21","Biz_6854","Agriculture","Maseru","19","3","26998","54290","19","314","73","0.9","2021-09-18"
"22","Biz_9938","Education","Mafeteng","34","3","68066","50398","5","21","57","0.85","2025-10-06"
"23","Biz_9316","Education","Maseru","24","7","31831","126909","16","181","91","0.88","2023-05-30"
"24","Biz_0113","Technology","Berea","31","7","161510","110708","17","234","11","1.48","2021-09-21"
"25","Biz_1278","Agriculture","Maseru","26","0","198778","123005","4","87","19","0.96","2023-07-25"
"26","Biz_2523","Retail","Mafeteng","20","4","31504","139756","3","227","86","0.11","2025-09-28"
"27","Biz_1907","Healthcare","Leribe","28","6","192784","109420","15","23","62","0.26","2022-04-19"
"28","Biz_5251","Agriculture","Maseru","23","4","84684","30872","14","343","45","0.6","2023-01-01"
"29","Biz_6117","Agriculture","Berea","28","6","155782","73235","18","333","7","1.49","2023-01-23"
"30","Biz_1737","Education","Leribe","19","1","146541","70697","8","294","65","1.77","2022-04-06"
"31","Biz_9214","Education","Maseru","21","1","152343","71690","14","283","73","0.57","2025-04-27"
"32","Biz_0423","Technology","Leribe","25","7","9020","145776","13","443","75","1.57","2025-09-17"
"33","Biz_1284","Retail","Maseru","30","0","97704","48398","9","353","23","1.46","2021-09-25"
"34","Biz_2176","Healthcare","Leribe","23","6","77212","121825","7","430","95","1.39","2023-10-10"
"35","Biz_4108","Retail","Berea","33","1","14869","46664","10","494","18","1.83","2021-07-19"
"36","Biz_6634","Agriculture","Mafeteng","19","6","66638","110910","12","58","87","1.02","2021-08-26"
"37","Biz_2968","Agriculture","Leribe","28","4","45435","66088","6","344","3","1.87","2023-07-07"
"38","Biz_7462","Education","Berea","28","4","80062","31851","17","488","67","0.11","2023-04-26"
"39","Biz_7002","Agriculture","Leribe","30","5","73713","23598","14","324","80","1.23","2024-03-10"
"40","Biz_6536","Technology","Berea","29","3","29281","141916","3","486","78","0.75","2023-05-01"
"41","Biz_6511","Healthcare","Leribe","20","7","34498","84580","17","399","70","1.82","2025-07-19"
"42","Biz_1680","Agriculture","Berea","27","4","189605","50901","6","346","22","0.14","2024-09-10"
"43","Biz_3441","Retail","Leribe","23","7","77092","79726","16","349","48","1.24","2021-04-10"
"44","Biz_3157","Agriculture","Mafeteng","23","7","30429","41766","19","427","86","1.25","2021-11-21"
"45","Biz_4329","Technology","Leribe","30","0","155935","46631","11","305","58","1.8","2023-12-15"
"46","Biz_2149","Technology","Berea","33","1","185235","59767","4","137","83","0.08","2022-11-24"
"47","Biz_6457","Education","Leribe","31","7","197296","7175","19","328","5","1.11","2022-07-22"
"48","Biz_8897","Technology","Leribe","27","3","51171","18056","7","458","38","1.75","2023-03-09"
"49","Biz_9786","Agriculture","Leribe","18","5","110200","50872","8","431","46","0.3","2025-04-18"
"50","Biz_1901","Technology","Mafeteng","31","2","26807","71885","4","346","52","1.07","2021-01-04"
"51","Biz_0238","Technology","Maseru","31","4","94128","74165","13","117","69","0.85","2021-10-18"
"52","Biz_8985","Technology","Mafeteng","26","1","114931","134273","10","232","23","1.93","2024-10-26"
"53","Biz_2387","Technology","Berea","34","7","168116","59963","13","461","13","0.96","2020-11-17"
"54","Biz_4246","Agriculture","Maseru","34","4","180101","107906","10","66","76","0.96","2023-08-19"
"55","Biz_2694","Healthcare","Leribe","23","2","51346","138497","6","421","87","0.22","2024-06-09"
"56","Biz_6158","Agriculture","Berea","19","0","143451","123252","12","298","11","1.99","2025-10-02"
"57","Biz_7664","Healthcare","Mafeteng","24","3","9769","130667","16","175","13","1.1","2023-02-26"
"58","Biz_2402","Technology","Maseru","19","2","28905","51382","7","339","70","0.21","2022-06-11"
"59","Biz_6045","Retail","Mafeteng","34","0","51403","58091","3","340","91","0.35","2022-08-15"
"60","Biz_1563","Retail","Leribe","33","5","155103","31978","12","302","54","1.74","2025-02-03"
"61","Biz_2540","Agriculture","Leribe","24","0","154618","77281","4","431","61","1.87","2023-03-07"
"62","Biz_7082","Technology","Mafeteng","32","5","11796","104361","18","99","64","1.79","2024-08-04"
"63","Biz_8062","Retail","Mafeteng","23","6","47404","30699","2","109","38","1.03","2025-09-02"
"64","Biz_8692","Healthcare","Leribe","28","3","117032","32877","9","48","44","0.67","2021-10-10"
"65","Biz_5311","Education","Mafeteng","29","7","28801","145813","2","164","64","1.07","2023-01-19"
"66","Biz_9565","Education","Maseru","22","5","141660","134037","3","252","57","1.17","2022-11-20"
"67","Biz_4697","Technology","Berea","29","5","60495","98242","8","58","39","0.33","2023-06-23"
"68","Biz_5376","Agriculture","Berea","34","1","168139","112442","17","472","52","0.93","2025-02-12"
"69","Biz_5103","Education","Mafeteng","30","0","106528","106794","15","22","32","1.21","2022-10-15"
"70","Biz_0849","Technology","Leribe","22","7","104736","61354","13","159","70","0.61","2021-02-14"
"71","Biz_1070","Education","Maseru","18","0","24429","138386","19","38","69","0.92","2022-01-07"
"72","Biz_1253","Technology","Mafeteng","32","2","154673","146382","17","397","78","0.56","2021-06-30"
"73","Biz_4945","Education","Mafeteng","27","2","58499","16222","10","118","52","0.92","2023-07-01"
"74","Biz_5418","Healthcare","Mafeteng","25","3","194283","23352","18","152","32","0.38","2025-04-13"
"75","Biz_3353","Retail","Maseru","30","1","57533","56113","11","220","65","1.28","2024-08-16"
"76","Biz_0472","Education","Berea","25","2","154019","82572","18","124","63","2","2025-06-10"
"77","Biz_6563","Technology","Maseru","23","1","56683","42957","11","351","31","1.87","2024-04-04"
"78","Biz_9769","Healthcare","Maseru","19","5","15436","109616","2","413","74","0.48","2025-07-07"
"79","Biz_0621","Education","Leribe","21","7","178313","80744","14","359","6","1.18","2021-06-07"
"80","Biz_0736","Healthcare","Mafeteng","29","4","62706","17372","18","98","68","0.26","2021-11-06"
"81","Biz_2418","Healthcare","Berea","21","3","132442","18139","14","24","81","0.2","2025-01-14"
"82","Biz_7254","Education","Maseru","33","0","161591","131","13","102","40","0.09","2022-06-22"
"83","Biz_5393","Healthcare","Mafeteng","24","4","39977","5931","17","232","49","1.09","2024-09-04"
"84","Biz_7308","Technology","Leribe","33","6","184703","133679","15","260","57","0.49","2022-11-13"
"85","Biz_2923","Education","Leribe","34","0","185325","65005","1","477","18","0.7","2022-11-08"
"86","Biz_0879","Retail","Leribe","26","5","139719","132337","18","214","60","1.85","2024-07-03"
"87","Biz_3110","Technology","Berea","24","2","58918","146910","11","150","62","1.06","2021-01-23"
"88","Biz_6636","Education","Leribe","28","7","198510","59522","17","476","61","1.15","2021-07-30"
"89","Biz_0845","Retail","Berea","18","4","51188","133255","10","29","55","1.07","2024-08-22"
"90","Biz_1084","Education","Mafeteng","25","7","157679","47784","13","343","47","0.35","2021-11-09"
"91","Biz_5808","Retail","Berea","28","3","173817","113935","15","231","88","1.67","2021-12-19"
"92","Biz_8103","Healthcare","Maseru","28","0","196457","66335","13","229","3","0.54","2021-05-17"
"93","Biz_2302","Retail","Mafeteng","27","4","177881","15369","5","89","78","0.68","2022-09-26"
"94","Biz_7473","Retail","Maseru","26","1","38887","59738","10","287","93","0.57","2021-08-01"
"95","Biz_0935","Retail","Mafeteng","28","4","75097","139548","7","83","22","0.64","2023-04-20"
"96","Biz_2447","Retail","Maseru","31","2","100433","81837","4","180","42","1.62","2021-04-02"
"97","Biz_4030","Healthcare","Mafeteng","19","6","93944","77483","9","321","78","0.94","2022-01-24"
"98","Biz_0458","Healthcare","Maseru","24","0","90031","102805","4","51","94","1.7","2022-09-30"
"99","Biz_7894","Education","Leribe","33","5","43484","57421","14","454","25","0.89","2022-04-18"
"100","Biz_7593","Retail","Mafeteng","23","4","172221","68953","19","243","2","0.25","2025-09-11"
"101","Biz_9041","Agriculture","Leribe","23","5","186654","15942","11","121","49","0.31","2024-11-25"
"102","Biz_0540","Healthcare","Maseru","23","7","30878","69487","14","411","99","1.58","2023-04-08"
"103","Biz_1809","Agriculture","Berea","26","0","18735","70330","15","52","39","1.57","2025-07-26"
"104","Biz_7282","Education","Leribe","20","4","74304","30485","4","473","20","1.54","2021-09-29"
"105","Biz_1560","Technology","Mafeteng","33","0","158559","85949","7","224","39","1.98","2022-02-28"
"106","Biz_5101","Healthcare","Maseru","27","4","13435","81922","13","78","11","0.51","2025-04-12"
"107","Biz_7949","Education","Berea","23","5","154846","94245","13","131","19","1.92","2024-09-23"
"108","Biz_1004","Education","Mafeteng","26","3","35340","46852","4","112","40","1.92","2022-08-10"
"109","Biz_4344","Agriculture","Maseru","22","6","136392","62901","4","452","14","1.56","2024-07-25"
"110","Biz_8861","Healthcare","Maseru","23","4","175998","19638","15","274","56","0.23","2022-06-07"
"111","Biz_2838","Agriculture","Maseru","34","2","90654","4872","14","107","39","1.37","2022-06-10"
"112","Biz_9314","Healthcare","Berea","23","5","96546","71980","11","162","26","0.66","2022-06-09"
"113","Biz_0836","Education","Berea","25","3","186842","127374","13","287","4","1.08","2021-05-16"
"114","Biz_0754","Retail","Mafeteng","23","5","175300","28520","15","398","54","0.48","2025-11-10"
"115","Biz_7246","Healthcare","Leribe","31","0","45960","35045","12","376","36","1.77","2022-01-04"
"116","Biz_5826","Agriculture","Mafeteng","26","6","39391","83898","13","241","88","1.5","2023-06-02"
"117","Biz_6200","Agriculture","Berea","32","2","61756","16995","9","190","39","0.3","2022-09-24"
"118","Biz_1020","Agriculture","Mafeteng","30","4","157320","78522","12","62","58","0.05","2024-12-01"
"119","Biz_5740","Agriculture","Maseru","33","4","165443","134337","8","25","77","0.49","2024-07-31"
"120","Biz_9810","Education","Mafeteng","28","0","15966","1412","1","130","87","0.78","2021-10-05"
"121","Biz_2126","Agriculture","Maseru","23","5","115132","97847","6","390","79","1.11","2023-02-22"
"122","Biz_8402","Technology","Maseru","20","0","7627","149552","2","24","31","1.27","2023-11-16"
"123","Biz_9757","Agriculture","Berea","18","0","149284","122453","11","458","73","0.71","2024-02-07"
"124","Biz_7810","Retail","Mafeteng","26","1","148675","98102","3","291","28","0.26","2020-12-20"
"125","Biz_0792","Retail","Berea","23","4","81584","8404","19","449","27","0.38","2021-01-19"
"126","Biz_8788","Agriculture","Mafeteng","25","5","159381","66204","8","232","54","1.54","2021-08-14"
"127","Biz_1629","Healthcare","Leribe","18","7","180501","912","14","248","31","0.52","2023-04-18"
"128","Biz_7160","Healthcare","Berea","34","5","173160","139999","15","354","2","1.17","2024-07-01"
"129","Biz_1612","Agriculture","Berea","20","2","128735","6090","1","109","54","0.13","2023-05-24"
"130","Biz_2860","Agriculture","Maseru","21","6","26559","144342","14","63","95","1.19","2025-05-25"
